S.no,Star_name,Distance,Mass,Radius,Gravity
0,Sun,0.000015813,1,1,274.2691614595739
1,Sirius,0008.6,2.1,1.71,196.971799550325
2,Canopus,0310,15,71,0.8161153386021839
3,Alpha Centauri,0004.4,1.1,1.2,209.51116500384126
4,Arcturus,0037,1.1,26,0.4462959727892476
5,Vega,0025,2.2,2.7,82.76984296448047
6,Capella,0043,2.6,12,4.952082081908975
7,Rigel,0860,23,78.9,1.0133297854321703
8,Procyon,0011.4,1.5,1.9,113.9622554541166
9,Betelgeuse,0640,20,950,0.006077986957552885
10,Achernar,0144,6.7,9.3,21.24642596576651
11,Hadar,0390,10.5,8.6,38.93761756794926
12,Altair,0017,1.8,1.8,152.37175636642996
13,Acrux,0320,18,8.9,62.326030883377484
14,Aldebaran,0065,1.5,44,0.21250193294905007
15,Antares,0600,12,680,0.0071177118025840995
16,Spica,0260,11.43,7.47,56.18003500809
17,Pollux,0034,1.9,8.8,6.729227876719917
18,Fomalhaut,0025,1.9,1.8,160.83685394234274
19,Deneb,2600,19,203,0.12645572733460905
20,Mimosa,0350,16,8.4,62.19255361895101

